2026-07-16 14:28:35.919 INFO    [UserEventReactorAgent - 0] (com.theice.cfapi.net.IdcSessionImpl checkStatisticsEvents[1784233715918~UserOneSecTimer-*~1784233715918]) RequestQueue size=0; Watchlist size=0 
2026-07-16 14:28:35.943 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.GetServerIpFromCme initializeInternal[1784233715918~CSPOneSecTimer-checkCspClients~1784233715918]) Error occurred: e=java.lang.UnsatisfiedLinkError: /private/var/folders/lv/yb9b934j5f59hbtjqzgttk_r0000gn/T/jna-fmarshalnyx/jna16624043941280149808.tmp: dlopen(/private/var/folders/lv/yb9b934j5f59hbtjqzgttk_r0000gn/T/jna-fmarshalnyx/jna16624043941280149808.tmp, 0x0001): tried: '/private/var/folders/lv/yb9b934j5f59hbtjqzgttk_r0000gn/T/jna-fmarshalnyx/jna16624043941280149808.tmp' (fat file, but missing compatible architecture (have 'i386,x86_64,unknown', need 'arm64e' or 'arm64e.v1' or 'arm64' or 'arm64')), '/System/Volumes/Preboot/Cryptexes/OS/private/var/folders/lv/yb9b934j5f59hbtjqzgttk_r0000gn/T/jna-fmarshalnyx/jna16624043941280149808.tmp' (no such file), '/private/var/folders/lv/yb9b934j5f59hbtjqzgttk_r0000gn/T/jna-fmarshalnyx/jna16624043941280149808.tmp' (fat file, but missing compatible architecture (have 'i386,x86_64,unknown', need 'arm64e' or 'arm64e.v1' or 'arm64' or 'arm64')) 
2026-07-16 14:28:35.944 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.IdcConnection open[1784233715918~CSPOneSecTimer-checkCspClients~1784233715918]) Dbcapi initialiation failed; Connect to CSP directly 
2026-07-16 14:28:35.944 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.IdcConnection open[1784233715918~CSPOneSecTimer-checkCspClients~1784233715918]) 216.221.209.61:7022 - Attempting to connect 216.221.209.61:7022 with a connection_timeout: 5000, m_connectStartTime=0  
2026-07-16 14:28:35.962 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.IdcConnection openSocketChannel[1784233715918~CSPOneSecTimer-checkCspClients~1784233715918]) 216.221.209.61:7022 - Created a new SocketChannel and changing inProgress from false to true, m_connectStartTime=1784233715962, m_connectionRetries=1 
2026-07-16 14:28:35.962 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.IdcConnection open[1784233715918~CSPOneSecTimer-checkCspClients~1784233715918]) 216.221.209.61:7022 Register SelectionKey validstatus:true and isConnectable=false  
2026-07-16 14:28:35.974 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.IdcConnection open[1784233715918~CSPOneSecTimer-checkCspClients~1784233715918]) 216.221.209.61:7022 numOfChannelsReady: 0 is <= zero 
2026-07-16 14:28:35.974 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.IdcConnection open[1784233715918~CSPOneSecTimer-checkCspClients~1784233715918]) 216.221.209.61:7022 - CspClient::connectHost -(216.221.209.61:7022) is not in connected status - will retry again. 
2026-07-16 14:28:37.976 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.IdcConnection open[1784233717976~CSPOneSecTimer-checkCspClients~1784233716975]) 216.221.209.61:7022 - Attempting to connect 216.221.209.61:7022 with a connection_timeout: 5000, m_connectStartTime=1784233715962  
2026-07-16 14:28:37.978 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.IdcConnection open[1784233717976~CSPOneSecTimer-checkCspClients~1784233716975]) 216.221.209.61:7022 Register SelectionKey validstatus:true and isConnectable=false  
2026-07-16 14:28:37.979 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.IdcConnection open[1784233717976~CSPOneSecTimer-checkCspClients~1784233716975]) 216.221.209.61:7022 Finishing the connection as SelectionKey	status, isConnectable=true, isReadable=false, isWritable=false 
2026-07-16 14:28:37.981 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.CspEventReactorThread register[1784233717976~CSPOneSecTimer-checkCspClients~1784233716975]) 216.221.209.61:7022 : Registering Read channel to the selector. 
2026-07-16 14:28:37.987 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.BaseSocketHelper registerSocketChannel[1784233717976~CSPOneSecTimer-checkCspClients~1784233716975]) 216.221.209.61:7022 - Registering SocketChannel with rcvBufferSize: 131768, writeBufferSize: 32768, readBufferSize:65536  
2026-07-16 14:28:37.988 INFO    [CspEventReactor-Agent-0] (com.theice.cfapi.net.IdcConnection open[1784233717976~CSPOneSecTimer-checkCspClients~1784233716975]) 216.221.209.61:7022 - CspClient::connectHost -(216.221.209.61:7022) is in connected status. 
